"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"0","0","0","2","1","0","0.432",0
"2","1","0","2","1","0","0.702",0
"0","1","0","2","1","0","0.568",0
"2","2","1","2","1","0","0.754",0
"0","2","1","2","1","0","0.668",0
"2","0","1","2","1","0","0.572",0
"0","0","1","2","1","0","0.428",0
"2","1","1","2","1","0","0.69",0
"0","1","1","2","1","0","0.554",0
"2","2","2","0","1","0","0.606",0
"0","2","2","0","1","0","0.412",0
"2","0","2","0","1","0","0.592",0
"0","0","2","0","1","0","0.41",0
"2","1","2","0","1","0","0.634",0
"0","1","2","0","1","0","0.432",0
"2","2","0","0","1","0","0.268",0
"0","2","0","0","1","0","0.096",0
"2","0","0","0","1","0","0.226",0
"0","0","0","0","1","0","0.08",0
"2","1","0","0","1","0","0.272",0
"0","1","0","0","1","0","0.096",0
"2","2","1","0","1","0","0.276",0
"0","2","1","0","1","0","0.112",0
"2","0","1","0","1","0","0.234",0
"0","0","1","0","1","0","0.094",0
"2","1","1","0","1","0","0.28",0
"0","1","1","0","1","0","0.104",0
"2","2","2","1","1","0","0.764",0
"0","2","2","1","1","0","0.692",0
"2","0","2","1","1","0","0.66",0
"0","0","2","1","1","0","0.574",0
"2","1","2","1","1","0","0.72",0
"0","1","2","1","1","0","0.582",0
"2","2","0","1","1","0","0.528",0
"0","2","0","1","1","0","0.35",0
"2","0","0","1","1","0","0.4",0
"0","0","0","1","1","0","0.21",0
"2","1","0","1","1","0","0.456",0
"0","1","0","1","1","0","0.188",0
"2","2","1","1","1","0","0.526",0
"0","2","1","1","1","0","0.372",0
"2","0","1","1","1","0","0.392",0
"0","0","1","1","1","0","0.214",0
"2","1","1","1","1","0","0.416",0
"0","1","1","1","1","0","0.16",0
"2","2","2","2","2","2","0.99",0
"0","2","2","2","2","2","0.964",0
"2","0","2","2","2","2","0.868",0
"0","0","2","2","2","2","0.818",0
"2","1","2","2","2","2","0.988",0
"0","1","2","2","2","2","0.924",0
"2","2","0","2","2","2","0.808",0
"0","2","0","2","2","2","0.69",0
"2","0","0","2","2","2","0.636",0
"0","0","0","2","2","2","0.478",0
"2","1","0","2","2","2","0.788",0
"0","1","0","2","2","2","0.616",0
"2","2","1","2","2","2","0.84",0
"0","2","1","2","2","2","0.748",0
"2","0","1","2","2","2","0.654",0
"0","0","1","2","2","2","0.518",0
"2","1","1","2","2","2","0.794",0
"0","1","1","2","2","2","0.656",0
"2","2","2","0","2","2","0.756",0
"0","2","2","0","2","2","0.562",0
"2","0","2","0","2","2","0.744",0
"0","0","2","0","2","2","0.552",0
"2","1","2","0","2","2","0.802",0
"0","1","2","0","2","2","0.62",0
"2","2","0","0","2","2","0.384",0
"0","2","0","0","2","2","0.192",0
"2","0","0","0","2","2","0.328",0
"0","0","0","0","2","2","0.16",0
"2","1","0","0","2","2","0.412",0
"0","1","0","0","2","2","0.22",0
"2","2","1","0","2","2","0.4",0
"0","2","1","0","2","2","0.236",0
"2","0","1","0","2","2","0.334",0
"0","0","1","0","2","2","0.186",0
"2","1","1","0","2","2","0.426",0
"0","1","1","0","2","2","0.25",0
"2","2","2","1","2","2","0.878",0
"0","2","2","1","2","2","0.784",0
"2","0","2","1","2","2","0.782",0
"0","0","2","1","2","2","0.676",0
"2","1","2","1","2","2","0.89",0
"0","1","2","1","2","2","0.744",0
"2","2","0","1","2","2","0.618",0
"0","2","0","1","2","2","0.394",0
"2","0","0","1","2","2","0.482",0
"0","0","0","1","2","2","0.274",0
"2","1","0","1","2","2","0.648",0
"0","1","0","1","2","2","0.336",0
"2","2","1","1","2","2","0.648",0
"0","2","1","1","2","2","0.48",0
"2","0","1","1","2","2","0.5",0
"0","0","1","1","2","2","0.322",0
"2","1","1","1","2","2","0.624",0
"0","1","1","1","2","2","0.36",0
"2","2","2","2","0","2","0.874",0
"0","2","2","2","0","2","0.812",0
"2","0","2","2","0","2","0.728",0
"0","0","2","2","0","2","0.656",0
