"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Não","Sim","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.788
"Sim","Não","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.752
"Não","Não","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.728
"Sim","Liberado","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Liberado","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.79
"Sim","Sim","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.806
"Não","Sim","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.794
"Sim","Não","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.744
"Não","Não","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.746
"Sim","Liberado","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.824
"Não","Liberado","Liberado","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.798
"Sim","Sim","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.874
"Não","Sim","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.882
"Sim","Não","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.802
"Não","Não","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Sim","Liberado","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.86
"Não","Liberado","Sim","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.852
"Sim","Sim","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.818
"Não","Sim","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.816
"Sim","Não","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.754
"Não","Não","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.758
"Sim","Liberado","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Não","Liberado","Não","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.81
"Sim","Sim","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.822
"Não","Sim","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Sim","Não","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.764
"Não","Não","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.79
